Time(days),Sham,IR,AT9+IR,AT9(C/G)+IR,AT9(C/R)+IR,AT9OX+IR
1,100,100,100,100,100,100
2,100,100,100,100,100,100
3,100,100,100,100,90,100
4,100,80,90,100,60,90
5,100,70,80,100,50,60
6,100,40,70,90,30,20
7,100,20,60,80,20,10
8,100,10,40,70,20,0
9,100,10,40,60,20,0
10,100,10,40,60,20,0
11,100,10,40,60,20,0
12,100,10,40,60,20,0
13,100,10,40,60,20,0
14,100,10,40,60,20,0
15,100,10,40,60,20,0
16,100,10,40,60,20,0
17,100,10,40,60,20,0
18,100,10,40,60,20,0
19,100,10,40,60,20,0
20,100,10,40,60,20,0
21,100,10,40,60,20,0
22,100,10,40,60,20,0
23,100,10,40,60,20,0
24,100,10,40,60,20,0
25,100,10,40,60,20,0
26,100,10,40,60,20,0
27,100,10,40,60,20,0
28,100,10,40,60,20,0
29,100,10,40,60,20,0
30,100,10,40,60,20,0
