ÌìÊý,Sham,IR,AT9(C/G)+IR,AT9(C/G)+ABX+IR,LCA+ABX+IR,ABX+IR
1,100,100,100,100,100,100
2,100,100,100,100,100,100
3,100,90,100,90,100,100
4,100,60,80,60,90,80
5,100,20,80,50,70,60
6,100,10,70,30,60,30
7,100,10,60,30,60,30
8,100,10,60,30,60,30
9,100,10,60,30,60,30
10,100,10,60,30,60,30
11,100,10,60,30,60,30
12,100,10,60,30,60,30
13,100,10,60,30,60,30
14,100,10,60,30,60,30
15,100,10,60,30,60,30
16,100,10,60,30,60,30
17,100,10,60,30,60,30
18,100,10,60,30,60,30
19,100,10,60,30,60,30
20,100,10,60,30,60,30
21,100,10,60,30,60,30
22,100,10,60,30,60,30
23,100,10,60,30,60,30
24,100,10,60,30,60,30
25,100,10,60,30,60,30
26,100,10,60,30,60,30
27,100,10,60,30,60,30
28,100,10,60,30,60,30
29,100,10,60,30,60,30
30,100,10,60,30,60,30
