Bacterial speces,Enrich group,LDA score,,,,,,
Muribaculaceae_bacterium,Sham,4.269867695,,,,,,
Bifidobacterium_pseudolongum,AT9(C/G),4.283269687,,,,,,
Muribaculaceae_bacterium_Isolate_104__HZI,Sham,3.954659961,,,,,,
Candidatus_Nanosyncoccus_alces,AT9(C/G),3.698573479,,,,,,
Dorea_sp_5_2,AT9(C/G),3.423727424,,,,,,
Thomasclavelia_cocleata,AT9(C/G),3.45263491,,,,,,
Prevotella_sp_MGM2,Sham,3.300050147,,,,,,
TM7_phylum_sp_oral_taxon_351,AT9(C/G),3.257556219,,,,,,
Parvibacter_caecicola,Sham,3.325030456,,,,,,
Clostridium_sp_CAG_571,AT9(C/G),3.329894086,,,,,,
uncultured_Schaedlerella_sp,AT9(C/G),3.293935835,,,,,,
Mycoplasma_sp_CAG_877,AT9(C/G),3.256738332,,,,,,
Clostridium_sp_CAG_452,AT9(C/G),3.258352289,,,,,,
Adlercreutzia_mucosicola,Sham,3.234320821,,,,,,
Bacteroidaceae_bacterium,Sham,3.058170555,,,,,,
uncultured_Clostridium_sp,AT9(C/G),3.112156133,,,,,,
Adlercreutzia_agrestimuris,AT9(C/G),3.148611722,,,,,,
Mycoplasma_sp_CAG_776,AT9(C/G),3.080768538,,,,,,
Clostridium_sp_26_22,AT9(C/G),3.169509425,,,,,,
Clostridium_sp_CAG_798,AT9(C/G),3.161376142,,,,,,
Clostridium_sp_CAG_440,AT9(C/G),3.146736508,,,,,,
Clostridium_sp_CAG_354_28_25,AT9(C/G),3.15944089,,,,,,
Clostridium_sp_CAG_921,AT9(C/G),3.03347423,,,,,,
,,,,,,,,
