ÌìÊý,Sham,IR,5 mg/kg LCA+IR,10 mg/kg LCA+IR,15 mg/kg LCA+IR,20 mg/kg LCA+IR
1,100,100,100,100,100,100
2,100,100,100,100,100,100
3,100,70,90,100,100,80
4,100,30,60,70,80,60
5,100,10,50,50,60,40
6,100,10,20,40,50,40
7,100,10,20,40,50,40
8,100,10,20,40,50,40
9,100,10,20,40,50,40
10,100,10,20,40,50,40
11,100,10,20,40,50,40
12,100,10,20,40,50,40
13,100,10,20,40,50,40
14,100,10,20,40,50,40
15,100,10,20,40,50,40
16,100,10,20,40,50,40
17,100,10,20,40,50,40
18,100,10,20,40,50,40
19,100,10,20,40,50,40
20,100,10,20,40,50,40
21,100,10,20,40,50,40
22,100,10,20,40,50,40
23,100,10,20,40,50,40
24,100,10,20,40,50,40
25,100,10,20,40,50,40
26,100,10,20,40,50,40
27,100,10,20,40,50,40
28,100,10,20,40,50,40
29,100,10,20,40,50,40
30,100,10,20,40,50,40
